Column1,Column2
,0
0,코로나
1,오미크론
2,코로나기침
3,기침
4,열
5,따뜻한물
6,녹차
7,가래
8,가글
9,주의
10,가습기
11,휴식
12,정보
13,꿀팁
14,꿀정보
15,공유
16,건강
17,조심
18,yhishare
19,코로나
20,일상
21,영상편집
22,ㅋㅋㅋㅋ
23,짤
24,코로나막차탑승
25,좋아요
26,맞팔
27,선팔
28,예능
29,웃긴
30,웃긴짤
31,예능레전드
32,개꿀잼
33,꿀잼
34,짤방
35,레전드
36,이슈
37,현웃
38,개웃
39,좋반
40,좋아요반사
41,맞팔해요
42,맞팔환영
43,팔로우미
44,코로나
45,회사동료
46,황당
47,이슈
48,어이없음
49,이시국
50,코로나
51,여행
52,썰스타
53,짤방
54,이슈스타그램
55,여름이다
56,직딩
57,썰스타
58,이건못참지
59,웃긴밈
60,공감짤
61,일하기싫다
62,부모공감
63,공감영상
64,물놀이
65,강아지그램
66,멍스타그램
67,강아지
68,댕댕이
69,믹스견
70,개딸
71,반려견
72,dog
73,dogstagram
74,pet
75,petsagram
76,가족
77,럽스타그램
78,좋아요
79,좋아요반사
80,얼스타그램
81,사진
82,사진스타그램
83,일상
84,일상스타그램
85,데일리
86,소통
87,코로나
88,4개월아기
89,로이스타그램
90,코로나
91,장꾸력
92,웃긴짤
93,웃긴글
94,웃긴사진
95,웃긴썰
96,유머
97,유머스타그램
98,유머짤
99,유머글
100,오늘의유머
101,공감
102,공감글
103,공감글귀
104,공감스타그램
105,연애
106,커플
107,코로나
108,강아지
109,헬스
110,좋아요구매
111,팔로워구매
112,눈썹문신
113,강남눈썹문신
114,감성카페
115,팔로워늘리기
116,좋테
117,좋반
118,좋아요반사
119,맞팔
120,선팔맞팔
121,소개계정맞팔
122,팔로워판매
123,좋아요판매
124,첫줄반사
125,첫줄
126,협찬
127,코로나
128,가로수길
129,속눈썹
130,마스크
131,오늘의훈녀
132,오늘의훈남
133,셀스타그램
134,눈썹반영구
135,홍대
136,팔로우
137,자연눈썹
138,코로나
139,협찬
140,오늘의훈녀
141,오늘의훈남
142,헬스
143,첫줄반사
144,좋아요반사
145,눈썹반영구
146,팔로워늘리기
147,팔로워판매
148,인스타마케팅
149,네일아트
150,소개계정맞팔
151,20대
152,데이트
153,다이어트
154,팔로워
155,패션스타그램
156,데일리룩
157,부계교환
158,커플
159,운동스타그램
160,코로나
161,협찬
162,오늘의훈녀
163,오늘의훈남
164,헬스
165,첫줄반사
166,좋아요반사
167,눈썹반영구
168,팔로워늘리기
169,팔로워판매
170,인스타마케팅
171,네일아트
172,소개계정맞팔
173,20대
174,데이트
175,다이어트
176,팔로워
177,패션스타그램
178,데일리룩
179,부계교환
180,커플
181,운동스타그램
182,범죄도시2
183,마블리는
184,유머코드내취향
185,극장팝콘은
186,코로나
187,코로나
188,협찬
189,오늘의훈녀
190,오늘의훈남
191,헬스
192,첫줄반사
193,좋아요반사
194,눈썹반영구
195,팔로워늘리기
196,팔로워판매
197,인스타마케팅
198,네일아트
199,소개계정맞팔
200,20대
201,데이트
202,다이어트
203,팔로워
204,패션스타그램
205,데일리룩
206,부계교환
207,커플
208,운동스타그램
209,코로나
210,협찬
211,오늘의훈녀
212,오늘의훈남
213,헬스
214,첫줄반사
215,좋아요반사
216,눈썹반영구
217,팔로워늘리기
218,팔로워판매
219,인스타마케팅
220,네일아트
221,소개계정맞팔
222,20대
223,데이트
224,다이어트
225,팔로워
226,패션스타그램
227,데일리룩
228,부계교환
229,커플
230,운동스타그램
231,내인생매운맛
232,9살7살
233,독박육아
234,함평돌머리
235,핫플
236,코로나
237,mytime
238,싱글맘모드
239,육아동지
240,코로나
241,협찬
242,오늘의훈녀
243,오늘의훈남
244,헬스
245,첫줄반사
246,좋아요반사
247,눈썹반영구
248,팔로워늘리기
249,팔로워판매
250,인스타마케팅
251,네일아트
252,소개계정맞팔
253,20대
254,데이트
255,다이어트
256,팔로워
257,패션스타그램
258,데일리룩
259,부계교환
260,커플
261,운동스타그램
262,키즈카페
263,예약제
264,봉명동
265,유어빔보
266,맘스타그램
267,코로나
268,키카
269,대전키카
270,먹스타그램
271,대전맛집
272,대전키카
273,키즈카페
274,음식이맛있는카페
275,깨끗한키카
276,위생청결
277,매회소독실시
278,맘
279,육아
280,키즈카페
281,코로나
282,협찬
283,오늘의훈녀
284,오늘의훈남
285,헬스
286,첫줄반사
287,좋아요반사
288,눈썹반영구
289,팔로워늘리기
290,팔로워판매
291,인스타마케팅
292,네일아트
293,소개계정맞팔
294,20대
295,데이트
296,다이어트
297,팔로워
298,패션스타그램
299,데일리룩
300,부계교환
301,커플
302,운동스타그램
303,코로나
304,covid_19
305,먹스타그램
306,food
307,일본
308,도시락
309,키즈카페
310,예약제
311,봉명동
312,유어빔보
313,맘스타그램
314,코로나
315,키카
316,대전키카
317,먹스타그램
318,대전맛집
319,대전키카
320,키즈카페
321,음식이맛있는카페
322,깨끗한키카
323,위생청결
324,매회소독실시
325,맘
326,육아
327,키즈카페
328,키즈카페
329,예약제
330,봉명동
331,유어빔보
332,맘스타그램
333,코로나
334,키카
335,대전키카
336,먹스타그램
337,대전맛집
338,대전키카
339,키즈카페
340,음식이맛있는카페
341,깨끗한키카
342,위생청결
343,매회소독실시
344,맘
345,육아
346,키즈카페
347,코로나
348,협찬
349,오늘의훈녀
350,오늘의훈남
351,헬스
352,첫줄반사
353,좋아요반사
354,눈썹반영구
355,팔로워늘리기
356,팔로워판매
357,인스타마케팅
358,네일아트
359,소개계정맞팔
360,20대
361,데이트
362,다이어트
363,팔로워
364,패션스타그램
365,데일리룩
366,부계교환
367,커플
368,운동스타그램
369,강아지
370,헬스
371,좋아요구매
372,팔로워구매
373,눈썹문신
374,강남눈썹문신
375,감성카페
376,팔로워늘리기
377,좋테
378,좋반
379,좋아요반사
380,맞팔
381,선팔맞팔
382,소개계정맞팔
383,팔로워판매
384,좋아요판매
385,첫줄반사
386,첫줄
387,협찬
388,코로나
389,가로수길
390,속눈썹
391,마스크
392,오늘의훈녀
393,오늘의훈남
394,셀스타그램
395,눈썹반영구
396,홍대
397,팔로우
398,자연눈썹
399,키즈카페
400,예약제
401,봉명동
402,유어빔보
403,맘스타그램
404,코로나
405,키카
406,대전키카
407,먹스타그램
